timestamp,src_ip,dst_ip,selected_path,throughput_mbps,delay_ms,loss_pct,exec_time_ms,path_changed,topsis_scores
1779887938.7035599,10.0.0.1,10.0.0.36,"[1, 2, 3, 4, 5, 12]",14.9998,39.4076,0.0,0.0031,0,
1779887938.7052894,10.0.0.1,10.0.0.36,"[2, 3, 4, 5, 12]",14.9998,31.6435,0.0,0.0021,1,
1779887938.7071333,10.0.0.1,10.0.0.36,"[3, 10, 11, 12]",14.9998,22.9273,0.0,0.0017,1,
1779887938.7097268,10.0.0.1,10.0.0.36,"[10, 11, 12]",14.9998,18.1788,0.0,0.0014,1,
1779887938.7112825,10.0.0.1,10.0.0.36,"[11, 12]",14.9998,10.0015,0.0,0.0019,1,
1779887938.7166562,10.0.0.36,10.0.0.1,"[12, 5, 4, 3, 2, 1]",15.0,39.1936,0.0,0.0031,0,
1779887938.7189245,10.0.0.36,10.0.0.1,"[5, 4, 3, 2, 1]",15.0,29.866,0.0,0.0031,1,
1779887938.7220616,10.0.0.36,10.0.0.1,"[4, 3, 2, 1]",15.0,21.6135,0.0,0.0029,1,
1779887938.7239022,10.0.0.36,10.0.0.1,"[3, 2, 1]",15.0,15.8862,0.0,0.0019,1,
1779887938.7249615,10.0.0.36,10.0.0.1,"[2, 1]",15.0,7.5508,0.0,0.0014,1,
1779887938.7303,10.0.0.1,10.0.0.37,"[1, 2, 3, 4, 5, 12]",14.9998,39.4076,0.0,0.0026,0,
1779887938.7345874,10.0.0.1,10.0.0.37,"[2, 3, 4, 5, 12]",14.9998,31.6435,0.0,0.0029,1,
1779887938.736443,10.0.0.1,10.0.0.37,"[3, 10, 11, 12]",14.9998,22.9273,0.0,0.0024,1,
1779887938.7389505,10.0.0.1,10.0.0.37,"[10, 11, 12]",14.9998,18.1788,0.0,0.0021,1,
1779887938.7401412,10.0.0.1,10.0.0.37,"[11, 12]",14.9998,10.0015,0.0,0.0019,1,
1779887938.7465043,10.0.0.37,10.0.0.1,"[12, 5, 4, 3, 2, 1]",15.0,39.1936,0.0,0.0026,0,
1779887938.7483273,10.0.0.37,10.0.0.1,"[5, 4, 3, 2, 1]",15.0,29.866,0.0,0.0017,1,
1779887938.750122,10.0.0.37,10.0.0.1,"[4, 3, 2, 1]",15.0,21.6135,0.0,0.0019,1,
1779887938.7514145,10.0.0.37,10.0.0.1,"[3, 2, 1]",15.0,15.8862,0.0,0.0014,1,
1779887938.7523658,10.0.0.37,10.0.0.1,"[2, 1]",15.0,7.5508,0.0,0.0012,1,
1779887938.7589612,10.0.0.1,10.0.0.38,"[1, 2, 3, 4, 5, 12]",14.9998,39.4076,0.0,0.0036,0,
1779887938.7617197,10.0.0.1,10.0.0.38,"[2, 3, 4, 5, 12]",14.9998,31.6435,0.0,0.0029,1,
1779887938.7641459,10.0.0.1,10.0.0.38,"[3, 10, 11, 12]",14.9998,22.9273,0.0,0.0014,1,
1779887938.7662692,10.0.0.1,10.0.0.38,"[10, 11, 12]",14.9998,18.1788,0.0,0.0012,1,
1779887938.7674975,10.0.0.1,10.0.0.38,"[11, 12]",14.9998,10.0015,0.0,0.0026,1,
1779887938.7737572,10.0.0.38,10.0.0.1,"[12, 5, 4, 3, 2, 1]",15.0,39.1936,0.0,0.0024,0,
1779887938.775945,10.0.0.38,10.0.0.1,"[5, 4, 3, 2, 1]",15.0,29.866,0.0,0.0019,1,
1779887938.777924,10.0.0.38,10.0.0.1,"[4, 3, 2, 1]",15.0,21.6135,0.0,0.0014,1,
1779887938.7792575,10.0.0.38,10.0.0.1,"[3, 2, 1]",15.0,15.8862,0.0,0.0012,1,
1779887938.7804601,10.0.0.38,10.0.0.1,"[2, 1]",15.0,7.5508,0.0,0.0017,1,
1779887938.7869143,10.0.0.1,10.0.0.39,"[1, 2, 3, 4, 5, 12]",14.9998,39.4076,0.0,0.0026,0,
1779887938.7889967,10.0.0.1,10.0.0.39,"[2, 3, 4, 5, 12]",14.9998,31.6435,0.0,0.0017,1,
1779887938.790505,10.0.0.1,10.0.0.39,"[3, 10, 11, 12]",14.9998,22.9273,0.0,0.0017,1,
1779887938.7921028,10.0.0.1,10.0.0.39,"[10, 11, 12]",14.9998,18.1788,0.0,0.0014,1,
1779887938.7945638,10.0.0.1,10.0.0.39,"[11, 12]",14.9998,10.0015,0.0,0.0043,1,
1779887938.7996547,10.0.0.39,10.0.0.1,"[12, 5, 4, 3, 2, 1]",15.0,39.1936,0.0,0.0029,0,
1779887938.8020246,10.0.0.39,10.0.0.1,"[5, 4, 3, 2, 1]",15.0,29.866,0.0,0.0031,1,
1779887938.804379,10.0.0.39,10.0.0.1,"[4, 3, 2, 1]",15.0,21.6135,0.0,0.0019,1,
1779887938.8059788,10.0.0.39,10.0.0.1,"[3, 2, 1]",15.0,15.8862,0.0,0.0012,1,
1779887938.8071766,10.0.0.39,10.0.0.1,"[2, 1]",15.0,7.5508,0.0,0.0019,1,
1779887938.8121395,10.0.0.1,10.0.0.40,"[1, 2, 3, 4, 5, 12]",14.9998,39.4076,0.0,0.0057,0,
1779887938.8145494,10.0.0.1,10.0.0.40,"[2, 3, 4, 5, 12]",14.9998,31.6435,0.0,0.0029,1,
1779887938.8163953,10.0.0.1,10.0.0.40,"[3, 10, 11, 12]",14.9998,22.9273,0.0,0.0021,1,
1779887938.8179462,10.0.0.1,10.0.0.40,"[10, 11, 12]",14.9998,18.1788,0.0,0.0019,1,
1779887938.8189447,10.0.0.1,10.0.0.40,"[11, 12]",14.9998,10.0015,0.0,0.0012,1,
1779887938.823861,10.0.0.40,10.0.0.1,"[12, 5, 4, 3, 2, 1]",15.0,39.1936,0.0,0.0024,0,
1779887938.8265786,10.0.0.40,10.0.0.1,"[5, 4, 3, 2, 1]",15.0,29.866,0.0,0.0019,1,
