timestamp,src_ip,dst_ip,selected_path,throughput_mbps,delay_ms,loss_pct,exec_time_ms,path_changed,topsis_scores
1779886899.3460648,10.0.0.1,10.0.0.35,"[5, 12]",15.0,6.8394,0.0,0.0296,1,
1779886899.3507404,10.0.0.35,10.0.0.1,"[12, 11, 4, 3, 2, 1]",15.0,34.6081,0.0,0.0374,0,
1779886899.3528478,10.0.0.35,10.0.0.1,"[11, 10, 9, 8, 1]",14.9998,24.0101,0.0,0.0255,1,
1779886899.3543305,10.0.0.35,10.0.0.1,"[10, 9, 8, 1]",14.9998,17.1834,0.0,0.015,1,
1779886899.3552482,10.0.0.35,10.0.0.1,"[9, 8, 1]",14.9998,10.4671,0.0,0.011,1,
1779886899.3576655,10.0.0.35,10.0.0.1,"[8, 1]",15.0,3.4338,0.0,0.0191,1,
1779886899.3638577,10.0.0.1,10.0.0.36,"[1, 2, 3, 4, 5, 12]",15.0,30.6638,0.0,0.0513,0,
1779886899.3654165,10.0.0.1,10.0.0.36,"[2, 3, 4, 5, 12]",15.0,24.3388,0.0,0.0257,1,
1779886899.367451,10.0.0.1,10.0.0.36,"[3, 4, 11, 12]",15.0,21.4739,0.0,0.0207,1,
1779886899.369584,10.0.0.1,10.0.0.36,"[4, 5, 12]",15.0,13.2473,0.0,0.0203,1,
1779886899.3715682,10.0.0.1,10.0.0.36,"[5, 12]",15.0,6.8394,0.0,0.0191,1,
1779886899.376607,10.0.0.36,10.0.0.1,"[12, 11, 4, 3, 2, 1]",15.0,34.6081,0.0,0.0355,0,
1779886899.3782933,10.0.0.36,10.0.0.1,"[11, 10, 9, 8, 1]",14.9998,24.0101,0.0,0.0401,1,
1779886899.381013,10.0.0.36,10.0.0.1,"[10, 9, 8, 1]",14.9998,17.1834,0.0,0.0267,1,
1779886899.3822885,10.0.0.36,10.0.0.1,"[9, 8, 1]",14.9998,10.4671,0.0,0.0174,1,
1779886899.3838494,10.0.0.36,10.0.0.1,"[8, 1]",15.0,3.4338,0.0,0.011,1,
